OBJECTID,ID_,COUNTY_NAM,CONST_CODE,CONSTITUEN,COUNTY_COD,Shape_Leng,Shape_Area
"1","5543",NAIROBI,"288",KAMUKUNJI,"47",1.55978672217,0.057422949
"2","6634",MOMBASA,"3",KISAUNI,"1",0.88558616055,0.02332510618
"3","6600",KWALE,"10",KINANGO,"2",4.28418177601,0.75826601303
"4","6731",KILIFI,"13",KALOLENI,"3",5.33308007101,1.02533838151
"5","5806",TANA RIVER,"19",GALOLE,"4",10.2804493709,3.18421263617
"6","6276",LAMU,"22",LAMU WEST,"5",3.74468915941,0.74374311266
"7","6467",TAITA TAVETA,"24",WUNDANYI,"6",5.5844513245,1.39385877374
"8","2382",GARISSA,"28",BALAMBALA,"7",10.4543262694,3.54169829321
"9","663",WAJIR,"36",WAJIR WEST,"8",9.96942202517,4.60636555222
"10","264",MANDERA,"42",MANDERA SOUTH,"9",7.19616328425,2.11434477576
"11","133",MARSABIT,"46",NORTH HORR,"10",11.8969963206,6.18501666925
"12","812",ISIOLO,"49",ISIOLO NORTH,"11",10.0183616426,2.06364774463
"13","2633",MERU,"56",NORTH IMENTI,"12",4.20468088307,0.56801994331
"14","3303",THARAKA - NITHI,"60",MAARA,"13",2.9883739317,0.20962152815
"15","3567",EMBU,"64",RUNYENJES,"14",3.20577801845,0.22934267389
"16","5251",KITUI,"73",KITUI EAST,"15",8.74448750335,2.47528086643
"17","5438",MACHAKOS,"76",YATTA,"16",5.69857534187,0.49098460969
"18","3699",NYANDARUA,"90",KIPIPIRI,"18",3.48082504881,0.26542309571
"19","3111",NYERI,"95",KIENI,"19",2.98028956743,0.27090667838
"20","3965",KIRINYAGA,"101",GICHUGU,"20",1.79453434734,0.11984024832
"21","4145",MURANG'A,"105",MATHIOYA,"21",2.43719771684,0.20511432082
"22","4921",KIAMBU,"112",GATUNDU NORTH,"22",3.00892182622,0.20655368085
"23","1",TURKANA,"123",TURKANA NORTH,"23",14.1898741549,5.70813539469
"24","519",WEST POKOT,"129",KAPENGURIA,"24",4.67142789986,0.7545900016
"25","401",SAMBURU,"134",SAMBURU NORTH,"25",7.83144153059,1.70766586839
"26","1723",UASIN GISHU,"144",AINABKOI,"27",3.79630380519,0.27589006735
"27","778",ELEGEYO-MARAKWET,"147",MARAKWET EAST,"28",3.8541213715,0.24576217495
"28","1582",NANDI,"156",MOSOP,"29",3.05726592217,0.23023133721
"29","1555",BARINGO,"159",BARINGO CENTRAL,"30",5.81571392065,0.88451236882
"30","1416",LAIKIPIA,"165",LAIKIPIA NORTH,"31",5.22280558966,0.77470766941
"31","2854",NAKURU,"172",SUBUKIA,"32",6.33797592365,0.60725078911
"32","5181",NAROK,"181",NAROK SOUTH,"33",6.68597072631,1.45350676401
"33","6202",KAJIADO,"184",KAJIADO CENTRAL,"34",7.16441555269,1.77912132642
"34","6213",MAKUENI,"87",KIBWEZI WEST,"17",5.74677892114,0.66459009423
"35","3434",KERICHO,"192",BELGUT,"35",3.4293911554,0.20964797953
"36","1819",KAKAMEGA,"209",SHINYALU,"37",3.81209259444,0.24446094982
"37","2515",VIHIGA,"213",HAMISI,"38",1.24925510587,0.04549045865
"38","1294",BUNGOMA,"220",KANDUYI,"39",2.90276116927,0.24504475541
"39","1295",BUSIA,"225",TESO NORTH,"40",2.57838796438,0.14764386658
"40","2082",SIAYA,"232",UGENYA,"41",2.80244601296,0.28583735592
"41","3888",HOMA BAY,"248",RANGWE,"43",3.30089166438,0.38431715409
"42","5443",MIGORI,"260",KURIA EAST,"44",2.9681189429,0.25500213176
"43","4405",KISII,"267",NYARIBARI CHACHE,"45",1.67945950816,0.10641196741
"44","4923",BOMET,"195",CHEPALUNGU,"36",2.72406675872,0.19238263931
"45","3966",NYAMIRA,"272",NORTH MUGIRANGO,"46",1.44616032887,0.07281816374
"46","3371",KISUMU,"244",NYAKACH,"42",2.85283474806,0.21632857436
"47","667",TRANS NZOIA,"137",ENDEBESS,"26",2.33533782345,0.20192419449
"60","0",,"0",,"0",0.02935459334,1.042895e-05
